Humidity,Temperature
57.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
58.00,24.10
59.00,24.10
59.00,24.10
58.00,24.10
58.00,24.10
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
58.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.50
57.00,24.80
57.00,24.80
57.00,24.80
57.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.60
56.00,24.70
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
56.00,24.80
57.00,24.80
57.00,24.80
57.00,24.80
57.00,24.80
57.00,24.80
57.00,24.80
57.00,24.80
58.00,24.80
57.00,24.80
58.00,24.80
58.00,24.80
58.00,24.80
58.00,24.80
58.00,24.80
58.00,24.80
58.00,24.80
57.00,24.80
57.00,24.80
58.00,24.80
57.00,24.80
57.00,24.80
57.00,24.90
57.00,25.00
57.00,25.00
57.00,25.20
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
56.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
57.00,25.30
56.00,25.30
56.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
55.00,25.30
